orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Universität Rostock CITLab	Deutschland	Rostock	Q2861	Universität Rostock	Universität	Q159895	http://www.wikidata.org/entity/Q159895	Universität Rostock	Q22468	03zdwsf69	https://ror.org/03zdwsf69		CITLab							
Universität zu Köln, Cologne Center for eHumanities	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Cologne Center for eHumanities							
Universitätsbibliothek Heidelberg	Deutschland	Heidelberg	Q2966	Ruprecht-Karls-Universität Heidelberg	Universität	Q151510	http://www.wikidata.org/entity/Q151510	Ruprecht-Karls-Universität Heidelberg	Q22237	038t36y30	https://ror.org/038t36y30		Universitätsbibliothek							
Universiteit Antwerpen	Belgien	Antwerpen	Q12892	Universität Antwerpen	Universität	Q175241	http://www.wikidata.org/entity/Q175241	Universität Antwerpen		008x57b05	https://ror.org/008x57b05									
University of Amsterdam, Niederlande	Niederlande	Amsterdam	Q727	University of Amsterdam	Universität	Q214341	http://www.wikidata.org/entity/Q214341	Universiteit van Amsterdam		04dkp9463	https://ror.org/04dkp9463									
University of Basel, Switzerland	Schweiz	Basel	Q78	Universität Basel	Universität	Q372608	http://www.wikidata.org/entity/Q372608	Universität Basel	Q94624	02s6k3f65	https://ror.org/02s6k3f65									
University of Cambridge, Vereinigtes Königreich	Vereinigtes Königreich	Cambridge	Q350	Universität Cambridge	Universität	Q35794	http://www.wikidata.org/entity/Q35794	University of Cambridge	Q144990	013meh722	https://ror.org/013meh722									
University of Passau, Deutschland	Deutschland	Passau	Q4190	Universität Passau	Universität	Q704468	http://www.wikidata.org/entity/Q704468	Universität Passau		05ydjnb78	https://ror.org/05ydjnb78									
University of Sheffield, UK	Vereinigtes Königreich	Sheffield	Q42448	University of Sheffield	Universität	Q823917	http://www.wikidata.org/entity/Q823917	Universität Sheffield		05krs5044	https://ror.org/05krs5044									
University of Verona, Italy	Italien	Verona	Q2028	University of Verona	Universität	Q2531629	http://www.wikidata.org/entity/Q2531629	Universität Verona		039bp8j42	https://ror.org/039bp8j42									
Vienna University of Technology, Computer Vision Lab	Österreich	Wien	Q1741	Technische Universität Wien	Universität	Q689400	http://www.wikidata.org/entity/Q689400	Technische Universität Wien		04d836q62	https://ror.org/04d836q62									
Wirtschaftsuniversität Wien, Österreich	Österreich	Wien	Q1741	Wirtschaftsuniversität Wien	Universität	Q278044	http://www.wikidata.org/entity/Q278044	Wirtschaftsuniversität Wien		03yn8s215	https://ror.org/03yn8s215									
WWU Münster, Germany	Deutschland	Münster	Q2742	Westfälische Wilhelms Universität Münster	Universität	Q168426	http://www.wikidata.org/entity/Q168426	Westfälische Wilhelms-Universität Münster	Q43648	00pd74e08	https://ror.org/00pd74e08									
ELDA, France	Frankreich			ELDA																
ZIM-ACDH, Universität Graz, Österreich	Österreich	Graz	Q13298	Karl-Franzens-Universität Graz	Universität	Q622683	http://www.wikidata.org/entity/Q622683	Universität Graz	Q175366	01faaaf77	https://ror.org/01faaaf77		Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities							
Zürcher Hochschule der Künste, Schweiz	Schweiz	Zürich	Q72	Zürcher Hochschule der Künste	Universität	Q222450	http://www.wikidata.org/entity/Q222450	Zürcher Hochschule der Künste		05r0ap620	https://ror.org/05r0ap620									
