orig_string,country,city,parent_institution_normalized,institutional_subunit_normalized
"Universität Düsseldorf, Deutschland",Deutschland,Düsseldorf,"Universität Düsseldorf, Deutschland",
"Universität Erlangen-Nürnberg, Deutschland",Deutschland,,"Universität Erlangen-Nürnberg, Deutschland",
Universität Frankfurt,Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
Universität Gießen,Deutschland,Gießen,Universität Gießen,
"Universität Göttingen, Seminar für Deutsche Philologie",Deutschland,Göttingen,Georg-August Universität Göttingen,
"Universität Konstantz, Deutschland",Deutschland,Konstanz,"Universität Konstantz, Deutschland",
"Universität Konstanz, Deutschland",Deutschland,Konstanz,"Universität Konstanz, Deutschland",
"Universität Leipzig, Deutschland, Alte Geschichte",Deutschland,Leipzig,Universität Leipzig,
"Universität Leipzig, Deutschland, Hochschuldidaktisches Zentrum Sachsen, Lehrpraxis im Transfer",Deutschland,Leipzig,Universität Leipzig,
"Universität Rostock, Deutschland",Deutschland,Rostock,"Universität Rostock, Deutschland",
"Universität Stuttgard, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,
"Universität Trier (Trier Center for Digital Humanities), Deutschland",Deutschland,Trier,"Universität Trier (Trier Center for Digital Humanities), Deutschland",
"Universität Trier, Trier Center for Digital Humanities",Deutschland,Trier,"Universität Trier, Trier Center for Digital Humanities",
"Universität Tübingen, Deutschland/ Universität Stuttgart, Deutschland",Deutschland,Stuttgart,"Universität Tübingen, Deutschland/ Universität Stuttgart, Deutschland",
"Universität Tübingen, Deutschland",Deutschland,Tübingen,"Universität Tübingen, Deutschland",
Universität Tübingen,Deutschland,Tübingen,Universität Tübingen,
"Universität Wien, Institut für Afrikawissenschaften; AT",Österreich,Wien,Universität Wien,
"Universität Wien, Institut für Germanistik, Österreich",Österreich,Wien,Universität Wien,
"Universität Würzburg, Schweiz",Schweiz,Würzburg,"Universität Würzburg, Schweiz",
"Universität zu Köln, Kunsthistorisches Institut",Deutschland,Köln,Universität zu Köln,Kunsthistorisches Institut
"Universitätsbibliothek Salzburg, Österreich",Österreich,Salzburg,"Universitätsbibliothek Salzburg, Österreich",
"Uppsala Universitet, Department of Musicology, Dueben Collection Database Uppsala, Schweden",Schweden,Uppsala,"Uppsala Universitet, Department of Musicology, Dueben Collection Database Uppsala, Schweden",
"Zentrum für Musik- und Filminformatik, Hochschule Ostwestfalen-Lippe",Deutschland,,"Zentrum für Musik- und Filminformatik, Hochschule Ostwestfalen-Lippe",
"Zentrum für Zeithistorische Forschung, Deutschland",Deutschland,,"Zentrum für Zeithistorische Forschung, Deutschland",
"ZIM Uni Graz, Österreich",Österreich,Graz,"ZIM Uni Graz, Österreich",
"Musikwissenschaftliches Seminar Detmold / Paderborn, Deutschland",Deutschland,,"Musikwissenschaftliches Seminar Detmold / Paderborn, Deutschland",
,,,,
AG Datenzentren im Verband DHd,,,AG Datenzentren im Verband DHd,
Akademie der Wissenschaften und der Literatur Mainz Arbeitsstelle “Mittelhochdeutsches Wörterbuch” an der Universität Trier,Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz Arbeitsstelle “Mittelhochdeutsches Wörterbuch” an der Universität Trier,
Akademie der Wissenschaften zu Göttingen,Deutschland,Göttingen,Akademie der Wissenschaften zu Göttingen,
Austrian Center for Digital Humanities (ACDH) der Österreichischen Akademie derWissenschaften,Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
BBAW,Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
"Carl-Maria-von-Weber-Gesamtausgabe, Universität Paderborn",Deutschland,Paderborn,"Carl-Maria-von-Weber-Gesamtausgabe, Universität Paderborn",
"CEGESOMA, Belgien",Belgien,,"CEGESOMA, Belgien",
"Centrum für Informations- und Sprachverarbeitung, in Zusammenarbeit mit dem Lehrstuhl II der Fakultät für Philosophie, Wissenschaftstheorie und Religionswissenschaft, LMU München",Deutschland,München,Ludwig-Maximilians Universität München,
"Centrum für Informations-und Sprachverarbeitung (CIS), LMU, München",Deutschland,München,Ludwig-Maximilians Universität München,Centrum für Informations- und Sprachverarbeitung
"Centrum für Religionswissenschaftliche Studien, Bochum, Deutschland",Deutschland,Bochum,"Centrum für Religionswissenschaftliche Studien, Bochum, Deutschland",
DAASI International GmbH,,,DAASI International GmbH,
"DARIAH-DE, Deutschland",Deutschland,,"DARIAH-DE, Deutschland",
"datalino. Forster, Fabian, Krumnow PartG",,,"datalino. Forster, Fabian, Krumnow PartG",
"Department Psychologie, Universität Potsdam",Deutschland,Potsdam,Universität Potsdam,Department Psychologie
"DFKI GmbH, Saarbrücken, Deutschland",Deutschland,Saarbrücken,"DFKI GmbH, Saarbrücken, Deutschland",
"Exzellenzcluster “Asien and Europa in a Global Context”, Universität Heidelberg",Deutschland,Heidelberg,"Exzellenzcluster “Asien and Europa in a Global Context”, Universität Heidelberg",
Fraunhofer IDMT Ilmenau-Erfurt,Deutschland,,Fraunhofer IDMT Ilmenau-Erfurt,
Freies Deutsches Hochstift/ Frankfurter Goethe-Haus,Deutschland,Frankfurt am Main,Freies Deutsches Hochstift/ Frankfurter Goethe-Haus,
"Friedrich-Wilhelms-Universität Bonn, Institut f. Archäologie und Kulturanthropologie",Deutschland,Bonn,"Friedrich-Wilhelms-Universität Bonn, Institut f. Archäologie und Kulturanthropologie",
"Georg-Eckert-Institut Leibniz-Institut für internationale Schulbuchforschung, Braunschweig",Deutschland,Braunschweig,"Georg-Eckert-Institut Leibniz-Institut für internationale Schulbuchforschung, Braunschweig",
Goethe Universität Frankfurt am Main,Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Goethe University, Frankfurt, Germany",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
Göttingen Centre for Digital Humanitie,Deutschland,Göttingen,Georg-August Universität Göttingen,Göttingen Centre for Digital Humanities
"Göttingen Centre for Digital Humanities, Universität Göttingen, Deutschland",Deutschland,Göttingen,Georg-August Universität Göttingen,Göttingen Centre for Digital Humanities
"HAB Wolfenbüttel / MWW-Forschungsverbund, Deutschland",Deutschland,,"HAB Wolfenbüttel / MWW-Forschungsverbund, Deutschland",
"Heinz Nixdorf Institut, Universität Paderborn",Deutschland,Paderborn,"Heinz Nixdorf Institut, Universität Paderborn",
Hochschule für Technik und Wirtschaft Berlin,Deutschland,Berlin,Hochschule für Technik und Wirtschaft Berlin,
"Institut für Anglistik und Amerikanistik, Universität Paderborn",Deutschland,Paderborn,"Institut für Anglistik und Amerikanistik, Universität Paderborn",
"Institut für Architektur von Anwendungssystemen, Universität Stuttgart",Deutschland,Stuttgart,Universität Stuttgart,Institut für Architektur von Anwendungssystemen
"Institut für Computerlinguistik, Universität Heidelberg",Deutschland,Heidelberg,"Institut für Computerlinguistik, Universität Heidelberg",
"Institut für Deutsche Philologie, Lehrstuhl für Computerphilologie, Universität Würzburg",Deutschland,Würzburg,"Institut für Deutsche Philologie, Lehrstuhl für Computerphilologie, Universität Würzburg",
"Institut für Deutsche Philologie, Philosophische Fakultät I, Universität Würzburg",Deutschland,Würzburg,"Institut für Deutsche Philologie, Philosophische Fakultät I, Universität Würzburg",
"Institut für Empirische Sprachwissenschaft, Goethe-Universität Frankfurt",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,Institut für Empirische Sprachwissenschaft
"Institut für Germanistik, Fakultät für Sprache, Literatur und Medien, Universität Hamburg",Deutschland,Hamburg,"Institut für Germanistik, Fakultät für Sprache, Literatur und Medien, Universität Hamburg",
"Institut für Germanistik, Karl-Franzens-Universität Graz",Österreich,Graz,"Institut für Germanistik, Karl-Franzens-Universität Graz",
"Institut für Germanistik, Universität Leipzig",Deutschland,Leipzig,Universität Leipzig,
"Institut für Germanistische Sprachwissenschaft,Friedrich Schiller-Universität Jena",Deutschland,Jena,"Institut für Germanistische Sprachwissenschaft,Friedrich Schiller-Universität Jena",
"Institut für Geschichte, Universität Wien",Österreich,Wien,Universität Wien,
"FH Campus Wien, Österreich",Österreich,Wien,FH Campus Wien,
"Institut für Informatik, Human-Centered Computing, Freie Universität Berlin",Deutschland,Berlin,Freie Universität Berlin,Institut für Informatik
"Institut für Informatik, Universität Heidelberg, Deutschland",Deutschland,Heidelberg,"Institut für Informatik, Universität Heidelberg, Deutschland",
"Institut für Informatik, Universität Paderborn",Deutschland,Paderborn,"Institut für Informatik, Universität Paderborn",
"Institut für Kulturwissenschaft, Humboldt-Universität zu Berlin",Deutschland,Berlin,Humboldt-Universität zu Berlin,Institut für Kulturwissenschaft
"Institut für Visualisierung und Interaktive Systeme, Universität Stuttgart",Deutschland,Stuttgart,Universität Stuttgart,Institut für Visualisierung und Interaktive Systeme
"Institut für Zeitgeschichte, Deutschland",Deutschland,,"Institut für Zeitgeschichte, Deutschland",
"Institute for German Studies, University of Hamburg",Deutschland,Hamburg,"Institute for German Studies, University of Hamburg",
"Institute of Computer Science, Heidelberg University",Deutschland,Heidelberg,"Institute of Computer Science, Heidelberg University",
International Audio Laboratories Erlangen,Deutschland,Erlangen,International Audio Laboratories Erlangen,
Justus-Liebig Universität Gießen,Deutschland,Gießen,Justus-Liebig Universität Gießen,
Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften,,,Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften,
"Leibniz Universität Hannover, Deutschland",Deutschland,Hannover,"Leibniz Universität Hannover, Deutschland",
"Leibniz-Institut für Europäische Geschichte, Deutschland",Deutschland,,"Leibniz-Institut für Europäische Geschichte, Deutschland",
Ludwig-Maximilans-Universität München,Deutschland,München,Ludwig-Maximilians Universität München,
"Max Planck-Institut für Wissenschaftsgeschichte, Berlin",Deutschland,Berlin,"Max Planck-Institut für Wissenschaftsgeschichte, Berlin",
"Max-Planck-Institut fuer Wissenschaftsgeschichte, Forschungsprogramm Geschichte der Max-Planck-Gesellschaft",Deutschland,,"Max-Planck-Institut fuer Wissenschaftsgeschichte, Forschungsprogramm Geschichte der Max-Planck-Gesellschaft",
"Max-Planck-Institut für Wissenschaftsgeschichte, Berlin-Brandenburgische Akademie der Wissenschaften",Deutschland,Berlin,"Max-Planck-Institut für Wissenschaftsgeschichte, Berlin-Brandenburgische Akademie der Wissenschaften",
Max-Planck-Institutzur Erforschung multireligiöser und multiethnischer Gesellschaften,Deutschland,,Max-Planck-Institutzur Erforschung multireligiöser und multiethnischer Gesellschaften,
"Medienzentrum, TU Dresden",Deutschland,Dresden,"Medienzentrum, TU Dresden",
"Musikwissenschaftliches Institut, Universität zu Köln",Deutschland,Köln,Universität zu Köln,Musikwissenschaftliches Institut
Musikwissenschaftliches Seminar Detmold/Paderborn,Deutschland,,Musikwissenschaftliches Seminar Detmold/Paderborn,
"National Research University - Higher School of Economics, Russian Federation",Russland,Moskau,National Research University Higher School of Economics,
Naturhistorisches Museum Wien,Österreich,Wien,Naturhistorisches Museum Wien,
Österreichische Akademie der Wissenschaften / Austrian Centre for Digital Humanities,Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Österreichische Akademie der Wissenschaften, Österreich, Institut für Corpus Linguistik und Texttechnologie",Österreich,Wien,Österreichische Akademie der Wissenschaften,Institut für Corpus Linguistik und Texttechnologie
"Österreichische Akademie der Wissenschaften, Wien, Österreich; Austrian Center for Digital Humanities, Wien, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Österreichische Nationabibliothek, Österreich",Österreich,Wien,Österreichische Nationalbibliothek,
"Österreichische Nationalbibliothek, Wien",Österreich,Wien,Österreichische Nationalbibliothek,
"Österreichisches Filmmuseum, Österreich",Österreich,Wien,Österreichisches Filmmuseum,
"Richard Strauss: Werke. Kritische Ausgabe, Universität München",Deutschland,München,Ludwig-Maximilians Universität München,
"Salomon-Ludwig-Steinheim-Institut für deutsch-jüdische Geschichte, Essen",Deutschland,Essen,"Salomon-Ludwig-Steinheim-Institut für deutsch-jüdische Geschichte, Essen",
"Schweizerische Rechtsquellenstiftung, Schweiz",Schweiz,,"Schweizerische Rechtsquellenstiftung, Schweiz",
"Sonic Linguistics, Griechenland",Griechenland,,"Sonic Linguistics, Griechenland",
Staats- und Universitätsbibliothek Göttingen,Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
"Steinheim-Institut für deutsch-jüdische Geschichte, Essen",Deutschland,Essen,"Steinheim-Institut für deutsch-jüdische Geschichte, Essen",
SUB Göttingen,Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
"Technische Universität Dortmund, Deutschland",Deutschland,Dortmund,"Technische Universität Dortmund, Deutschland",
"Trier Center for Digital Humanities, Deutschland",Deutschland,Trier,"Trier Center for Digital Humanities, Deutschland",
"Trinity College Dublin, Irland",Irland,Dublin,"Trinity College Dublin, Irland",
Trinity College Dublin,Irland,Dublin,Trinity College Dublin,
Uni Würzburg,Deutschland,Würzburg,Uni Würzburg,
"Univeresität Paderborn, Deutschland",Deutschland,Paderborn,"Univeresität Paderborn, Deutschland",
"Universität Erfurt, Max-Weber-Kolleg, Deutschland",Deutschland,Erfurt,"Universität Erfurt, Max-Weber-Kolleg, Deutschland",
Universität Hildesheim,Deutschland,Hildesheim,Universität Hildesheim,
"Universität Köln, Historisch-Kulturwissenschaftliche Informationsverarbeitung",Deutschland,Köln,Universität zu Köln,Historisch-Kulturwissenschaftliche Informationsverarbeitung
Universität Lüneburg,Deutschland,Lüneburg,Universität Lüneburg,
Universität Magdeburg,Deutschland,Magdeburg,Universität Magdeburg,
Universitat Politècnica de València (DSIC),Spanien,Valencia,Universitat Politècnica de València (DSIC),
Universität Salamanca,Spanien,Salamanca,Universität Salamanca,
Universität Siegen,Deutschland,Siegen,Universität Siegen,
Wittgenstein Archives at the University of Bergen (WAB),Schweden,Bergen,Wittgenstein Archives at the University of Bergen (WAB),
"WU Wien, Österreich",Österreich,Wien,Wirtschaftsuniversität Wien,
Zentral- und Landesbibliothek Berlin,Deutschland,Berlin,Zentral- und Landesbibliothek Berlin,
Zentrum für Soziale Innovation,,,Zentrum für Soziale Innovation,
"Akademie der Wisschenschaften zu Göttingen, Germany",Deutschland,Göttingen,Akademie der Wissenschaften zu Göttingen,
"Akademie der Wissenschaften und der Literatur Mainz, Germany",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"Akademie der Wissenschaften zu Göttingen, Germany",Deutschland,Göttingen,Akademie der Wissenschaften zu Göttingen,
Göttingen Centre for Digital Humanities,Deutschland,Göttingen,Georg-August Universität Göttingen,Göttingen Centre for Digital Humanities
"Albertina, Austria",Österreich,Wien,Albertina,
"Albert-Ludwigs-Universität Freiburg, Germany",Deutschland,Freiburg,"Albert-Ludwigs-Universität Freiburg, Germany",
Arbeitsgemeinschaft Geschichte und EDV e.V,,,Arbeitsgemeinschaft Geschichte und EDV e.V,
"Interdisciplinary Center of E-Humanities in History and Social Sciences, Institut für Alte Geschichte und Altertumskunde – Karl Franzens-Universität Graz",Österreich,Graz,"Interdisciplinary Center of E-Humanities in History and Social Sciences, Institut für Alte Geschichte und Altertumskunde – Karl Franzens-Universität Graz",
Arbeitsgemeinschaft Geschichte und EDV e.V.,,,Arbeitsgemeinschaft Geschichte und EDV e.V.,
"FB III - Alte Geschichte, Universität Trier",Deutschland,Trier,"FB III - Alte Geschichte, Universität Trier",
Interdisciplinary Center of E-Humanities in History and Social Sciences,,,Interdisciplinary Center of E-Humanities in History and Social Sciences,
"Historisches Seminar - Lehrstuhl Alte Geschichte, Universität Leipzig",Deutschland,Leipzig,Universität Leipzig,
"Bayerische Staatsbibliothek München, Germany",Deutschland,München,Bayerische Staatsbibliothek,
"Berlin-Brandenburgische Akademie der Wissenschaften (BBAW), Zentrum Sprache, Deutschland",Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,Zentrum Sprache
"Berlin-Brandenburgische Akademie der Wissenschaften, Berlin, Deutschland",Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte,,,Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte,
"Bildarchiv Foto Marburg, Germany",Deutschland,Marburg,"Bildarchiv Foto Marburg, Germany",
"Brandenburgische Technische Universität Cottbus, Germany",Deutschland,Cottbus,"Brandenburgische Technische Universität Cottbus, Germany",
"Bundesministerium der Justiz, Berlin, Germany",Deutschland,Berlin,Bundesministerium der Justiz,
"Center for Digital Humanities / Uni-Trier, Germany",Deutschland,Trier,"Center for Digital Humanities / Uni-Trier, Germany",
"Cologne Center for eHumanities (CCeH), Germany",Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
"Cologne Center for eHumanities, Universität zu Köln",Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
"Computer Vision Group, Heidelberg Collaboratory for Image Processing (HCI), Universität Heidelberg, (AKDK)",Deutschland,Heidelberg,"Computer Vision Group, Heidelberg Collaboratory for Image Processing (HCI), Universität Heidelberg, (AKDK)",
"CVCE, Luxembourg",Luxemburg,,"CVCE, Luxembourg",
"DAASI International GmbH, Tübingen",Deutschland,Tübingen,"DAASI International GmbH, Tübingen",
Delft University of Technology,,,Delft University of Technology,
"Deutsches Archäologisches Institut, Germany",Deutschland,,"Deutsches Archäologisches Institut, Germany",
Deutsches Forschungszentrum für Künstliche Intelligenz,Deutschland,,Deutsches Forschungszentrum für Künstliche Intelligenz,
"Dipartimento di Elettronica, Informazione e Bioingegneria",,,"Dipartimento di Elettronica, Informazione e Bioingegneria",
"DLA Marbach, Germany",Deutschland,Marbach,"DLA Marbach, Germany",
Engineering Ingegneria Informatica S.p.a.,,,Engineering Ingegneria Informatica S.p.a.,
European Institute for Participatory Media,,,European Institute for Participatory Media,
"Exzellenzcluster „Asien und Europa"", Universität Heidelberg, Germany",Deutschland,Heidelberg,"Exzellenzcluster „Asien und Europa"", Universität Heidelberg, Germany",
"Fachbereich III - Neuere und Neueste Geschichte, Universität Trier, Interdisciplinary Center of E-Humanities in History and Social Sciences",Deutschland,Trier,"Fachbereich III - Neuere und Neueste Geschichte, Universität Trier, Interdisciplinary Center of E-Humanities in History and Social Sciences",
"Forschungszentrum L3S / Leibniz Universität Hannover, Deutschland",Deutschland,Hannover,"Forschungszentrum L3S / Leibniz Universität Hannover, Deutschland",
"Fraunhofer Institut für digitale Medientechnologie Ilmenau, Interdisciplinary Center of E-Humanities in History and Social Sciences",Deutschland,,"Fraunhofer Institut für digitale Medientechnologie Ilmenau, Interdisciplinary Center of E-Humanities in History and Social Sciences",
"Friedrich-Alexander Universität Erlangen-Nürnberg, Germany",Deutschland,,"Friedrich-Alexander Universität Erlangen-Nürnberg, Germany",
"Georg-August-Universität Göttingen, Germany, Theodor Fontane-Arbeitsstelle, Seminar für Deutsche Philologie",Deutschland,Göttingen,Georg-August Universität Göttingen,Seminar für Deutsche Philologie
"Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung, Germany",Deutschland,,"Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung, Germany",
"Heidelberg University, Germany",Deutschland,Heidelberg,"Heidelberg University, Germany",
Helmut Schmidt Universität Hamburg,Deutschland,Hamburg,Helmut Schmidt Universität Hamburg,
Helmut-Schmidt-Universität / Universität der Bundeswehr,Deutschland,,Helmut-Schmidt-Universität / Universität der Bundeswehr,
Herder-Institut für historische Ostmitteleuropaforschung,Deutschland,,Herder-Institut für historische Ostmitteleuropaforschung,
"Herder-Institut Marburg, Germany",Deutschland,Marburg,"Herder-Institut Marburg, Germany",
"Herzog August Bibliothek Wolfenbüttel, Germany",Deutschland,Wolfenbüttel,"Herzog August Bibliothek Wolfenbüttel, Germany",
"Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Germany",Deutschland,,"Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Germany",
Historisches Lexikon der Schweiz,Schweiz,,Historisches Lexikon der Schweiz,
"Historisches Seminar - Arbeitsbereich Alte Geschichte, Universität Hamburg, Interdisciplinary Center of E-Humanities in History and Social Sciences",Deutschland,Hamburg,"Historisches Seminar - Arbeitsbereich Alte Geschichte, Universität Hamburg, Interdisciplinary Center of E-Humanities in History and Social Sciences",
Historisch-Kulturwissenschaftliche-Informationsverarbeitung,,,Historisch-Kulturwissenschaftliche-Informationsverarbeitung,
"Hochschule Darmstadt, Germany",Deutschland,Darmstadt,"Hochschule Darmstadt, Germany",
"Hochschule für Gestaltung Karlsruhe, Germany",Deutschland,Karlsruhe,"Hochschule für Gestaltung Karlsruhe, Germany",
"Hochschule für Technik und Wirtschaft Dresden, Germany",Deutschland,Dresden,"Hochschule für Technik und Wirtschaft Dresden, Germany",
Homeria Open Solutions S.L.,,,Homeria Open Solutions S.L.,
"i3mainz Fachhochschule Mainz, Germany",Deutschland,Mainz,i3mainz Fachhochschule Mainz,
"IFK Internationales Forschungszentrum Kulturwissenschaften an der Kunstuniversität Linz, Austria",Österreich,,"IFK Internationales Forschungszentrum Kulturwissenschaften an der Kunstuniversität Linz, Austria",
"IMA/ZLW der RWTH Aachen University, Germany",Deutschland,,"IMA/ZLW der RWTH Aachen University, Germany",
"Institut für Architektur von Anwendungssystemen (IAAS), Universität Stuttgart, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,Institut für Architektur von Anwendungssystemen
"Institut für Deutsche Sprache, Germany",Deutschland,Mannheim,"Institut für Deutsche Sprache, Germany",
"Institut für Deutsche Sprache, Mannheim",Deutschland,Mannheim,"Institut für Deutsche Sprache, Mannheim",
"Institut für Europäische Kunstgeschichte, Universität Heidelberg, Germany",Deutschland,Heidelberg,"Institut für Europäische Kunstgeschichte, Universität Heidelberg, Germany",
"Institut für Germanistik und Zentrum für Medien und Interaktivität der JLU Gießen, Deutschland",Deutschland,Gießen,"Institut für Germanistik und Zentrum für Medien und Interaktivität der JLU Gießen, Deutschland",
"Institut für Kultur und Ästhetik digitaler Medien, Leuphana Universität Lüneburg",Deutschland,Lüneburg,"Institut für Kultur und Ästhetik digitaler Medien, Leuphana Universität Lüneburg",
Institut für Medienkultur und Theater,,,Institut für Medienkultur und Theater,
"Institut für Nachrichtentechnik, TU Braunschweig, Germany",Deutschland,Braunschweig,"Institut für Nachrichtentechnik, TU Braunschweig, Germany",
"Institut für Neuzeit- und Zeitgeschichtsforschung, Österreichische Akademie der Wissenschaften",Österreich,Wien,Österreichische Akademie der Wissenschaften,Institut für Neuzeit- und Zeitgeschichtsforschung
Institut für Philosophie der Goethe-Universität Frankfurt,Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,Institut für Philosophie
Institut für Sächsische Geschichte und Volkskunde,Deutschland,,Institut für Sächsische Geschichte und Volkskunde,
"Johannes-Gutenberg-Universität, Germany",Deutschland,,"Johannes-Gutenberg-Universität, Germany",
"Justus-Liebig-Universität Gießen, Germany",Deutschland,Gießen,"Justus-Liebig-Universität Gießen, Germany",
"Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften, Universität Trier",Deutschland,Trier,"Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften, Universität Trier",
"Landesarchiv Baden-Württemberg, Germany",Deutschland,,"Landesarchiv Baden-Württemberg, Germany",
Lehrstuhl für Computerphilologie,,,Lehrstuhl für Computerphilologie,
"Lehrstuhl für Informationswissenschaft, Universität Regensburg",Deutschland,Regensburg,"Lehrstuhl für Informationswissenschaft, Universität Regensburg",
"Leibniz Universität Hannover, Germany",Deutschland,Hannover,"Leibniz Universität Hannover, Germany",
"Ludwig Maximilians Universität München, Germany",Deutschland,München,Ludwig-Maximilians Universität München,
"Ludwig-Maximilians-Universität, Germany",Deutschland,,"Ludwig-Maximilians-Universität, Germany",
"Martin-Luther-Universität Halle-Wittenberg, Germany",Deutschland,Halle,"Martin-Luther-Universität Halle-Wittenberg, Germany",
"Max Planck Institut für Evolutionäre Anthropologie, Germany",Deutschland,,"Max Planck Institut für Evolutionäre Anthropologie, Germany",
"Max Weber Stiftung, de.hypotheses.org",,,"Max Weber Stiftung, de.hypotheses.org",
Max-Planck Institut für Psycholinguistik,Deutschland,,Max-Planck Institut für Psycholinguistik,
Max-Planck-Institut für europäische Rechtsgeschichte,Deutschland,,Max-Planck-Institut für europäische Rechtsgeschichte,
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Germany",Deutschland,,"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Germany",
"Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien der Universität Erfurt, Germany, Arbeitsgemeinschaft Geschichte und EDV e.V., Interdisciplinary Center of E-Humanities in History and Social Sciences",Deutschland,,"Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien der Universität Erfurt, Germany, Arbeitsgemeinschaft Geschichte und EDV e.V., Interdisciplinary Center of E-Humanities in History and Social Sciences",
"MLU Halle-Wittenberg, Germany",Deutschland,Halle,"MLU Halle-Wittenberg, Germany",
"MPI für Wissenschaftsgeschichte und Berlin-Brandenburgische Akademie der Wissenschaften, Germany",Deutschland,Berlin,"MPI für Wissenschaftsgeschichte und Berlin-Brandenburgische Akademie der Wissenschaften, Germany",
"Musikwissenschaftliches Seminar Detmold / Paderborn, Germany",Deutschland,,"Musikwissenschaftliches Seminar Detmold / Paderborn, Germany",
"Niedersächsiche Staats- und Universitätsbibliothek Göttingen, Germany",Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
"Niedersächsische Staats- und Universitätsbibliothek Göttingen, Germany",Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
"Otto-von Guericke-Universität Magdeburg, Germany",Deutschland,Magdeburg,"Otto-von Guericke-Universität Magdeburg, Germany",
"pagina GmbH, Germany",Deutschland,,"pagina GmbH, Germany",
"Pina Bausch Stiftung, Wuppertal",Deutschland,Wuppertal,"Pina Bausch Stiftung, Wuppertal",
Public Research Centre Henri Tudor,,,Public Research Centre Henri Tudor,
"Rheinische Friedrich-Wilhelms-Universität Bonn, Germany",Deutschland,Bonn,"Rheinische Friedrich-Wilhelms-Universität Bonn, Germany",
"Soziologisches Forschungsinstitut Göttingen, Deutschland",Deutschland,Göttingen,Soziologisches Forschungsinstitut Göttingen,
Soziologisches Forschungsinstitut Göttingen,Deutschland,Göttingen,Soziologisches Forschungsinstitut Göttingen,
"Universität Hamburg, Fachbereich Sozialökonomie, Deutschland",Deutschland,Hamburg,"Universität Hamburg, Fachbereich Sozialökonomie, Deutschland",
"Steinheim-Institut für deutsch-jüdische Geschichte, Germany",Deutschland,,"Steinheim-Institut für deutsch-jüdische Geschichte, Germany",
"Stiftung Archiv der deutschen Frauenbewegung, Kassel, Deutschland",Deutschland,Kassel,"Stiftung Archiv der deutschen Frauenbewegung, Kassel, Deutschland",
"Stiftung Mozarteum Salzburg, Austria",Österreich,Salzburg,"Stiftung Mozarteum Salzburg, Austria",
"Technische Universität Darmstadt, Universität Trier, Germany",Deutschland,Trier,"Technische Universität Darmstadt, Universität Trier, Germany",
"Technische Universität Dortmund, Fakultät Informatik, Deutschland",Deutschland,Dortmund,"Technische Universität Dortmund, Fakultät Informatik, Deutschland",
"Technische Universität Dortmund, Institut für deutsche Sprache und Literatur, Deutschland",Deutschland,Dortmund,"Technische Universität Dortmund, Institut für deutsche Sprache und Literatur, Deutschland",
"Technische Universität Dresden, Germany",Deutschland,Dresden,"Technische Universität Dresden, Germany",
